time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.009,0.000177,-0.001476,0.007818,0.000497,0.000117,0.029515,0.000016,-31.873671,0.035640
0.019,0.000182,-0.001475,0.008121,0.000510,0.000116,0.030291,0.000016,-31.873671,0.035640
0.029,0.000187,-0.001474,0.008432,0.000524,0.000114,0.031086,0.000016,-31.873671,0.035640
0.039,0.000193,-0.001473,0.008748,0.000532,0.000063,0.031599,0.000000,-31.939790,-0.000000
0.049,0.000198,-0.001473,0.009070,0.000508,0.000013,0.032133,-0.021445,-31.939501,0.000367
0.059,0.000202,-0.001474,0.009396,0.000452,-0.000038,0.032689,-0.042729,-31.939213,0.000732
0.069,0.000206,-0.001475,0.009729,0.000364,-0.000089,0.033267,-0.063852,-31.938928,0.001093
0.079,0.000208,-0.001476,0.010068,0.000245,-0.000140,0.033866,-0.084815,-31.938644,0.001452
0.089,0.000209,-0.001478,0.010413,0.000094,-0.000190,0.034488,-0.105618,-31.938363,0.001809
0.099,0.000208,-0.001480,0.010764,-0.000088,-0.000241,0.035133,-0.126262,-31.938084,0.002162
0.109,0.000205,-0.001483,0.011122,-0.000300,-0.000292,0.035801,-0.146747,-31.937808,0.002513
0.119,0.000200,-0.001487,0.011487,-0.000543,-0.000343,0.036493,-0.167073,-31.937533,0.002861
0.129,0.000192,-0.001491,0.011859,-0.000815,-0.000394,0.037209,-0.187241,-31.937261,0.003206
0.139,0.000181,-0.001495,0.012239,-0.001118,-0.000445,0.037949,-0.207251,-31.936990,0.003548
0.149,0.000166,-0.001500,0.012626,-0.001451,-0.000496,0.038714,-0.227104,-31.936723,0.003888
0.159,0.000148,-0.001505,0.013021,-0.001813,-0.000547,0.039505,-0.246800,-31.936457,0.004225
0.169,0.000126,-0.001511,0.013424,-0.002204,-0.000598,0.040322,-0.266339,-31.936193,0.004559
0.179,0.000100,-0.001518,0.013836,-0.002624,-0.000650,0.041165,-0.285722,-31.935932,0.004890
0.189,0.000069,-0.001525,0.014256,-0.003073,-0.000701,0.042036,-0.304949,-31.935673,0.005218
0.199,0.000033,-0.001532,0.014685,-0.003551,-0.000752,0.042934,-0.324021,-31.935416,0.005544
0.209,-0.000007,-0.001541,0.015124,-0.004056,-0.000804,0.043860,-0.342937,-31.935162,0.005866
0.219,-0.000053,-0.001549,0.015572,-0.004590,-0.000855,0.044814,-0.361700,-31.934910,0.006186
0.229,-0.000105,-0.001558,0.016030,-0.005151,-0.000907,0.045798,-0.380308,-31.934660,0.006503
0.239,-0.000162,-0.001568,0.016498,-0.005740,-0.000959,0.046812,-0.398762,-31.934413,0.006817
0.249,-0.000226,-0.001578,0.016977,-0.006356,-0.001010,0.047857,-0.417063,-31.934168,0.007128
0.259,-0.000296,-0.001588,0.017466,-0.006999,-0.001062,0.048932,-0.435211,-31.933925,0.007436
0.269,-0.000372,-0.001600,0.017966,-0.007668,-0.001114,0.050040,-0.453206,-31.933685,0.007741
0.279,-0.000456,-0.001611,0.018478,-0.008365,-0.001166,0.051180,-0.471049,-31.933448,0.008043
0.289,-0.000547,-0.001623,0.019002,-0.009087,-0.001218,0.052354,-0.488741,-31.933213,0.008342
0.299,-0.000645,-0.001636,0.019537,-0.009835,-0.001270,0.053562,-0.506281,-31.932980,0.008638
0.309,-0.000751,-0.001649,0.020085,-0.010609,-0.001323,0.054804,-0.523670,-31.932750,0.008931
0.319,-0.000865,-0.001663,0.020646,-0.011409,-0.001375,0.056082,-0.540908,-31.932522,0.009220
0.329,-0.000988,-0.001677,0.021220,-0.012234,-0.001428,0.057397,-0.557997,-31.932297,0.009507
0.339,-0.001118,-0.001692,0.021808,-0.013083,-0.001480,0.058749,-0.574935,-31.932075,0.009790
0.349,-0.001258,-0.001708,0.022409,-0.013958,-0.001533,0.060140,-0.591725,-31.931855,0.010070
0.359,-0.001407,-0.001723,0.023025,-0.014857,-0.001586,0.061569,-0.608365,-31.931638,0.010347
0.369,-0.001564,-0.001740,0.023655,-0.015780,-0.001639,0.063039,-0.624857,-31.931424,0.010621
0.379,-0.001732,-0.001757,0.024301,-0.016727,-0.001692,0.064549,-0.641201,-31.931213,0.010891
0.389,-0.001909,-0.001774,0.024962,-0.017698,-0.001746,0.066101,-0.657397,-31.931004,0.011158
0.399,-0.002096,-0.001792,0.025639,-0.018692,-0.001799,0.067697,-0.673446,-31.930798,0.011421
0.409,-0.002293,-0.001811,0.026332,-0.019710,-0.001853,0.069336,-0.689348,-31.930595,0.011681
0.419,-0.002500,-0.001830,0.027042,-0.020750,-0.001907,0.071020,-0.705103,-31.930395,0.011938
0.429,-0.002718,-0.001849,0.027770,-0.021814,-0.001961,0.072751,-0.720712,-31.930198,0.012191
0.439,-0.002947,-0.001869,0.028515,-0.022900,-0.002015,0.074529,-0.736176,-31.930004,0.012441
0.449,-0.003187,-0.001890,0.029279,-0.024008,-0.002070,0.076355,-0.751494,-31.929813,0.012687
0.459,-0.003439,-0.001911,0.030061,-0.025138,-0.002125,0.078231,-0.766667,-31.929624,0.012930
0.469,-0.003702,-0.001933,0.030862,-0.026290,-0.002180,0.080158,-0.781696,-31.929439,0.013168
0.479,-0.003976,-0.001956,0.031684,-0.027463,-0.002235,0.082136,-0.796581,-31.929257,0.013404
0.489,-0.004263,-0.001978,0.032526,-0.028657,-0.002291,0.084169,-0.811322,-31.929079,0.013635
0.500,-0.004562,-0.002002,0.033388,-0.029873,-0.002346,0.086255,-0.825920,-31.928903,0.013863
0.509,-0.004873,-0.002026,0.034272,-0.031109,-0.002403,0.088398,-0.840375,-31.928731,0.014087
0.519,-0.005196,-0.002051,0.035178,-0.032366,-0.002459,0.090599,-0.854687,-31.928562,0.014307
0.529,-0.005533,-0.002076,0.036107,-0.033643,-0.002516,0.092858,-0.868857,-31.928396,0.014523
0.539,-0.005882,-0.002101,0.037058,-0.034940,-0.002573,0.095178,-0.882886,-31.928234,0.014736
0.549,-0.006245,-0.002128,0.038034,-0.036256,-0.002631,0.097560,-0.896774,-31.928075,0.014944
0.559,-0.006621,-0.002155,0.039034,-0.037593,-0.002689,0.100005,-0.910520,-31.927919,0.015148
0.569,-0.007010,-0.002182,0.040059,-0.038948,-0.002747,0.102515,-0.924126,-31.927767,0.015349
0.579,-0.007413,-0.002210,0.041110,-0.040322,-0.002806,0.105093,-0.937592,-31.927618,0.015545
0.589,-0.007830,-0.002239,0.042188,-0.041715,-0.002865,0.107738,-0.950919,-31.927473,0.015738
0.599,-0.008262,-0.002268,0.043292,-0.043126,-0.002925,0.110454,-0.964106,-31.927332,0.015926
0.609,-0.008707,-0.002298,0.044424,-0.044556,-0.002985,0.113241,-0.977154,-31.927194,0.016110
0.619,-0.009167,-0.002328,0.045585,-0.046004,-0.003046,0.116103,-0.990064,-31.927060,0.016289
0.629,-0.009642,-0.002359,0.046776,-0.047469,-0.003108,0.119040,-1.002836,-31.926930,0.016465
0.639,-0.010132,-0.002391,0.047996,-0.048951,-0.003170,0.122055,-1.015470,-31.926803,0.016636
0.649,-0.010636,-0.002423,0.049248,-0.050451,-0.003233,0.125150,-1.027967,-31.926680,0.016803
0.659,-0.011156,-0.002456,0.050531,-0.051968,-0.003296,0.128326,-1.040328,-31.926561,0.016966
0.669,-0.011691,-0.002490,0.051847,-0.053501,-0.003360,0.131586,-1.052551,-31.926446,0.017124
0.679,-0.012241,-0.002524,0.053196,-0.055050,-0.003425,0.134932,-1.064639,-31.926334,0.017277
0.689,-0.012807,-0.002559,0.054580,-0.056616,-0.003491,0.138366,-1.076591,-31.926227,0.017426
0.699,-0.013389,-0.002595,0.055999,-0.058197,-0.003557,0.141890,-1.088408,-31.926124,0.017571
0.709,-0.013987,-0.002631,0.057454,-0.059794,-0.003625,0.145508,-1.100090,-31.926024,0.017711
0.719,-0.014601,-0.002668,0.058946,-0.061407,-0.003693,0.149220,-1.111638,-31.925929,0.017847
0.729,-0.015232,-0.002706,0.060477,-0.063034,-0.003763,0.153030,-1.123052,-31.925838,0.017977
0.739,-0.015879,-0.002744,0.062046,-0.064676,-0.003833,0.156941,-1.134332,-31.925751,0.018104
0.749,-0.016542,-0.002783,0.063655,-0.066333,-0.003905,0.160954,-1.145479,-31.925668,0.018225
0.759,-0.017222,-0.002823,0.065306,-0.068003,-0.003977,0.165072,-1.156493,-31.925590,0.018342
0.769,-0.017919,-0.002863,0.066999,-0.069688,-0.004051,0.169299,-1.167375,-31.925515,0.018453
0.779,-0.018633,-0.002905,0.068736,-0.071386,-0.004126,0.173637,-1.178125,-31.925445,0.018561
0.789,-0.019364,-0.002947,0.070516,-0.073098,-0.004203,0.178089,-1.188743,-31.925379,0.018663
0.799,-0.020112,-0.002989,0.072343,-0.074823,-0.004281,0.182657,-1.199230,-31.925318,0.018760
0.809,-0.020877,-0.003033,0.074216,-0.076560,-0.004360,0.187345,-1.209587,-31.925261,0.018852
0.820,-0.021661,-0.003077,0.076138,-0.078311,-0.004441,0.192157,-1.219812,-31.925209,0.018940
0.829,-0.022461,-0.003123,0.078109,-0.080073,-0.004524,0.197094,-1.229908,-31.925161,0.019022
0.839,-0.023280,-0.003169,0.080131,-0.081847,-0.004608,0.202162,-1.239875,-31.925117,0.019099
0.849,-0.024116,-0.003216,0.082204,-0.083633,-0.004695,0.207362,-1.249712,-31.925078,0.019172
0.859,-0.024970,-0.003263,0.084331,-0.085431,-0.004783,0.212698,-1.259421,-31.925043,0.019239
0.869,-0.025843,-0.003312,0.086513,-0.087239,-0.004873,0.218175,-1.269001,-31.925014,0.019301
0.879,-0.026733,-0.003362,0.088751,-0.089058,-0.004966,0.223795,-1.278453,-31.924988,0.019357
0.889,-0.027642,-0.003412,0.091047,-0.090888,-0.005060,0.229562,-1.287778,-31.924968,0.019409
0.899,-0.028569,-0.003464,0.093401,-0.092728,-0.005158,0.235481,-1.296975,-31.924952,0.019455
0.909,-0.029515,-0.003517,0.095817,-0.094578,-0.005257,0.241555,-1.306046,-31.924941,0.019497
0.919,-0.030480,-0.003570,0.098295,-0.096437,-0.005360,0.247788,-1.314991,-31.924935,0.019532
0.929,-0.031463,-0.003625,0.100837,-0.098306,-0.005465,0.254185,-1.323809,-31.924933,0.019563
0.939,-0.032465,-0.003681,0.103444,-0.100184,-0.005573,0.260749,-1.332502,-31.924936,0.019588
0.949,-0.033485,-0.003737,0.106119,-0.102070,-0.005684,0.267486,-1.341070,-31.924945,0.019608
0.959,-0.034525,-0.003795,0.108863,-0.103965,-0.005798,0.274399,-1.349513,-31.924958,0.019622
0.969,-0.035584,-0.003855,0.111678,-0.105868,-0.005916,0.281494,-1.357832,-31.924976,0.019631
0.979,-0.036661,-0.003915,0.114566,-0.107779,-0.006038,0.288774,-1.366027,-31.924999,0.019634
0.989,-0.037758,-0.003977,0.117528,-0.109697,-0.006163,0.296246,-1.374099,-31.925026,0.019632
0.999,-0.038875,-0.004040,0.120567,-0.111622,-0.006293,0.303913,-1.382047,-31.925059,0.019625
1.009,-0.040010,-0.004104,0.123685,-0.113554,-0.006426,0.311782,-1.389873,-31.925097,0.019611
1.019,-0.041165,-0.004169,0.126884,-0.115492,-0.006564,0.319857,-1.397576,-31.925140,0.019593
1.029,-0.042339,-0.004236,0.130165,-0.117437,-0.006707,0.328144,-1.405158,-31.925188,0.019568
1.039,-0.043533,-0.004305,0.133532,-0.119388,-0.006855,0.336648,-1.412618,-31.925241,0.019538
1.049,-0.044747,-0.004375,0.136985,-0.121344,-0.007008,0.345375,-1.419957,-31.925299,0.019503
1.059,-0.045980,-0.004447,0.140529,-0.123305,-0.007166,0.354331,-1.427175,-31.925363,0.019462
1.069,-0.047232,-0.004520,0.144164,-0.125271,-0.007330,0.363522,-1.434273,-31.925431,0.019415
1.079,-0.048505,-0.004595,0.147893,-0.127241,-0.007500,0.372954,-1.441251,-31.925505,0.019362
1.089,-0.049797,-0.004672,0.151720,-0.129216,-0.007676,0.382634,-1.448110,-31.925584,0.019304
1.099,-0.051109,-0.004750,0.155645,-0.131194,-0.007860,0.392568,-1.454850,-31.925668,0.019239
1.109,-0.052441,-0.004831,0.159673,-0.133176,-0.008050,0.402762,-1.461470,-31.925758,0.019170
1.119,-0.053792,-0.004913,0.163805,-0.135161,-0.008247,0.413223,-1.467973,-31.925852,0.019094
1.129,-0.055164,-0.004998,0.168045,-0.137149,-0.008453,0.423959,-1.474358,-31.925952,0.019012
1.139,-0.056555,-0.005085,0.172395,-0.139139,-0.008666,0.434976,-1.480625,-31.926058,0.018925
1.149,-0.057967,-0.005173,0.176857,-0.141131,-0.008889,0.446283,-1.486776,-31.926168,0.018832
1.159,-0.059398,-0.005265,0.181436,-0.143125,-0.009120,0.457886,-1.492809,-31.926284,0.018733
1.169,-0.060849,-0.005358,0.186134,-0.145121,-0.009361,0.469793,-1.498727,-31.926405,0.018628
1.179,-0.062320,-0.005454,0.190954,-0.147117,-0.009611,0.482012,-1.504528,-31.926532,0.018518
1.189,-0.063811,-0.005553,0.195900,-0.149114,-0.009873,0.494552,-1.510215,-31.926664,0.018401
1.199,-0.065322,-0.005655,0.200974,-0.151112,-0.010145,0.507421,-1.515786,-31.926801,0.018278
1.209,-0.066854,-0.005759,0.206180,-0.153109,-0.010429,0.520626,-1.521242,-31.926944,0.018150
1.219,-0.068405,-0.005866,0.211522,-0.155106,-0.010726,0.534178,-1.526585,-31.927092,0.018016
1.229,-0.069976,-0.005976,0.217003,-0.157102,-0.011035,0.548085,-1.531813,-31.927246,0.017875
1.239,-0.071567,-0.006090,0.222626,-0.159097,-0.011357,0.562356,-1.536928,-31.927405,0.017729
1.249,-0.073177,-0.006207,0.228396,-0.161091,-0.011694,0.577001,-1.541930,-31.927569,0.017577
1.259,-0.074808,-0.006327,0.234317,-0.163083,-0.012046,0.592029,-1.546820,-31.927739,0.017419
1.269,-0.076459,-0.006452,0.240391,-0.165072,-0.012413,0.607450,-1.551597,-31.927915,0.017255
1.279,-0.078130,-0.006580,0.246624,-0.167060,-0.012797,0.623275,-1.556263,-31.928096,0.017085
1.289,-0.079820,-0.006712,0.253019,-0.169044,-0.013198,0.639513,-1.560817,-31.928282,0.016909
1.299,-0.081530,-0.006848,0.259581,-0.171025,-0.013618,0.656176,-1.565260,-31.928474,0.016727
1.309,-0.083260,-0.006988,0.266314,-0.173002,-0.014056,0.673274,-1.569592,-31.928671,0.016539
1.319,-0.085010,-0.007133,0.273222,-0.174976,-0.014514,0.690818,-1.573815,-31.928874,0.016345
1.329,-0.086780,-0.007283,0.280310,-0.176946,-0.014994,0.708820,-1.577927,-31.929082,0.016145
1.339,-0.088569,-0.007438,0.287583,-0.178911,-0.015495,0.727292,-1.581930,-31.929296,0.015939
1.349,-0.090377,-0.007598,0.295045,-0.180871,-0.016019,0.746244,-1.585824,-31.929515,0.015727
1.359,-0.092206,-0.007764,0.302702,-0.182826,-0.016568,0.765690,-1.589610,-31.929740,0.015510
1.369,-0.094053,-0.007936,0.310559,-0.184775,-0.017142,0.785642,-1.593287,-31.929970,0.015286
1.379,-0.095921,-0.008113,0.318620,-0.186719,-0.017742,0.806112,-1.596857,-31.930206,0.015056
1.389,-0.097807,-0.008297,0.326891,-0.188657,-0.018371,0.827114,-1.600319,-31.930447,0.014820
1.399,-0.099713,-0.008487,0.335378,-0.190589,-0.019028,0.848660,-1.603675,-31.930694,0.014578
1.409,-0.101638,-0.008684,0.344085,-0.192514,-0.019716,0.870764,-1.606924,-31.930946,0.014331
1.419,-0.103583,-0.008889,0.353020,-0.194433,-0.020437,0.893440,-1.610066,-31.931204,0.014077
1.429,-0.105546,-0.009100,0.362187,-0.196345,-0.021190,0.916702,-1.613103,-31.931467,0.013817
1.439,-0.107528,-0.009320,0.371592,-0.198250,-0.021979,0.940563,-1.616035,-31.931736,0.013552
1.449,-0.109530,-0.009548,0.381243,-0.200147,-0.022805,0.965039,-1.618861,-31.932010,0.013280
1.459,-0.111550,-0.009785,0.391144,-0.202038,-0.023669,0.990144,-1.621584,-31.932289,0.013003
1.469,-0.113590,-0.010031,0.401303,-0.203921,-0.024573,1.015893,-1.624202,-31.932574,0.012719
1.479,-0.115647,-0.010286,0.411726,-0.205796,-0.025519,1.042301,-1.626716,-31.932865,0.012430
1.489,-0.117724,-0.010551,0.422420,-0.207664,-0.026508,1.069383,-1.629127,-31.933161,0.012135
1.499,-0.119819,-0.010826,0.433391,-0.209525,-0.027544,1.097156,-1.631435,-31.933462,0.011833
1.509,-0.121933,-0.011113,0.444648,-0.211378,-0.028627,1.125635,-1.633640,-31.933769,0.011526
1.519,-0.124065,-0.011410,0.456196,-0.213224,-0.029759,1.154836,-1.635744,-31.934081,0.011214
1.529,-0.126216,-0.011720,0.468044,-0.215063,-0.030944,1.184775,-1.637745,-31.934398,0.010895
1.539,-0.128385,-0.012042,0.480199,-0.216895,-0.032182,1.215468,-1.639646,-31.934721,0.010570
1.549,-0.130572,-0.012376,0.492668,-0.218720,-0.033477,1.246932,-1.641445,-31.935049,0.010240
1.559,-0.132778,-0.012725,0.505460,-0.220538,-0.034830,1.279183,-1.643144,-31.935383,0.009904
1.569,-0.135001,-0.013087,0.518582,-0.222351,-0.036244,1.312238,-1.644743,-31.935722,0.009562
1.579,-0.137243,-0.013464,0.532043,-0.224158,-0.037720,1.346113,-1.646242,-31.936066,0.009214
1.589,-0.139502,-0.013857,0.545851,-0.225960,-0.039262,1.380826,-1.647642,-31.936415,0.008861
1.599,-0.141780,-0.014266,0.560015,-0.227757,-0.040872,1.416391,-1.648943,-31.936770,0.008502
1.609,-0.144075,-0.014691,0.574544,-0.229551,-0.042552,1.452827,-1.650146,-31.937130,0.008137
1.620,-0.146389,-0.015134,0.589445,-0.231342,-0.044305,1.490149,-1.651250,-31.937495,0.007766
1.629,-0.148720,-0.015595,0.604729,-0.233130,-0.046133,1.528373,-1.652257,-31.937866,0.007390
1.639,-0.151069,-0.016076,0.620404,-0.234918,-0.048038,1.567516,-1.653167,-31.938241,0.007008
1.649,-0.153436,-0.016576,0.636480,-0.236705,-0.050023,1.607592,-1.653979,-31.938622,0.006621
1.659,-0.155821,-0.017097,0.652966,-0.238494,-0.052090,1.648618,-1.654695,-31.939008,0.006228
1.669,-0.155821,-0.017097,0.652966,-0.238494,-0.052090,1.648618,-1.654695,-31.939008,0.006228
1.679,-0.160645,-0.018204,0.687208,-0.242081,-0.056480,1.733573,-1.655840,-31.939795,0.005425
1.689,-0.163084,-0.018792,0.704983,-0.243881,-0.058807,1.777531,-1.656269,-31.940196,0.005015
1.699,-0.165541,-0.019405,0.723208,-0.245690,-0.061225,1.822494,-1.656604,-31.940603,0.004600
1.710,-0.168016,-0.020042,0.741893,-0.247507,-0.063736,1.868472,-1.656844,-31.941014,0.004180
1.719,-0.170509,-0.020705,0.761048,-0.249336,-0.066341,1.915477,-1.656989,-31.941430,0.003754
1.729,-0.173021,-0.021396,0.780683,-0.251179,-0.069042,1.963518,-1.657042,-31.941851,0.003322
1.739,-0.173021,-0.021396,0.780683,-0.251179,-0.069042,1.963518,-1.657042,-31.941851,0.003322
1.749,-0.175552,-0.022094,0.800683,-0.253163,-0.069827,2.000000,-1.657001,-31.942277,-1.028466
1.759,-0.178108,-0.022741,0.820683,-0.255527,-0.064691,2.000000,-1.656867,-31.942708,-4.092589
1.769,-0.180687,-0.023335,0.840683,-0.257897,-0.059424,2.000000,-1.656641,-31.943144,-4.166504
1.779,-0.183289,-0.023875,0.860683,-0.260275,-0.054030,2.000000,-1.656323,-31.943585,-4.239017
1.789,-0.185916,-0.024361,0.880683,-0.262661,-0.048510,2.000000,-1.655913,-31.944031,-4.310095
1.799,-0.188567,-0.024789,0.900683,-0.265055,-0.042865,2.000000,-1.655412,-31.944481,-4.379705
1.809,-0.191241,-0.025160,0.920683,-0.267458,-0.037097,2.000000,-1.654820,-31.944936,-4.447811
1.819,-0.193940,-0.025472,0.940683,-0.269869,-0.031209,2.000000,-1.654137,-31.945396,-4.514379
1.829,-0.196663,-0.025724,0.960683,-0.272290,-0.025202,2.000000,-1.653365,-31.945860,-4.579375
1.839,-0.199410,-0.025915,0.980683,-0.274720,-0.019078,2.000000,-1.652503,-31.946330,-4.642762
1.849,-0.202182,-0.026043,1.000683,-0.277161,-0.012839,2.000000,-1.651552,-31.946803,-4.704504
1.859,-0.204978,-0.026108,1.020683,-0.279613,-0.006488,2.000000,-1.650512,-31.947282,-4.764567
1.869,-0.207798,-0.026109,1.040683,-0.282076,-0.000025,2.000000,-1.649384,-31.947764,-4.822913
1.879,-0.210644,-0.026043,1.060683,-0.284551,0.006547,2.000000,-1.648168,-31.948252,-4.879505
1.889,-0.213514,-0.025911,1.080683,-0.287037,0.013225,2.000000,-1.646864,-31.948744,-4.934306
1.899,-0.216410,-0.025711,1.100683,-0.289537,0.020007,2.000000,-1.645473,-31.949240,-4.987280
1.909,-0.219330,-0.025442,1.120683,-0.292050,0.026893,2.000000,-1.643995,-31.949740,-5.038387
1.919,-0.222276,-0.025103,1.140683,-0.294576,0.033878,2.000000,-1.642431,-31.950245,-5.087591
1.929,-0.225247,-0.024693,1.160683,-0.297117,0.040961,2.000000,-1.640781,-31.950754,-5.134854
1.939,-0.228244,-0.024212,1.180683,-0.299673,0.048139,2.000000,-1.639045,-31.951268,-5.180137
1.949,-0.231266,-0.023658,1.200683,-0.302245,0.055410,2.000000,-1.637224,-31.951785,-5.223402
1.959,-0.234315,-0.023030,1.220683,-0.304832,0.062772,2.000000,-1.635318,-31.952307,-5.264610
1.969,-0.237389,-0.022328,1.240683,-0.307437,0.070223,2.000000,-1.633329,-31.952833,-5.303723
1.979,-0.240490,-0.021550,1.260683,-0.310058,0.077758,2.000000,-1.631255,-31.953363,-5.340704
1.989,-0.243617,-0.020697,1.280683,-0.312698,0.085377,2.000000,-1.629097,-31.953897,-5.375512
1.999,-0.246770,-0.019766,1.300683,-0.315356,0.093076,2.000000,-1.626857,-31.954435,-5.408111
2.009,-0.249950,-0.018757,1.320683,-0.318033,0.100853,2.000000,-1.624533,-31.954977,-5.438461
